project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,,,
https://github.com/maciejkula/spotlight,FALSE,TRUE,8,286,1518,218,https://api.github.com/users/maciejkula,TRUE,,,
https://github.com/fastai/fastai,FALSE,TRUE,342,4137,12049,4389,https://api.github.com/users/sgugger,TRUE,Lessons and Tutorials on a Library,,
https://github.com/neptune-ml/open-solution-mapping-challenge,FALSE,TRUE,7,198,103,28,https://api.github.com/users/apyskir,TRUE,Solutions for a Challenge,,
https://github.com/mozillazg/pypy,FALSE,TRUE,195,43146,59,20,https://api.github.com/users/fijal,TRUE,,,
https://github.com/daniilidis-group/neural_renderer,FALSE,TRUE,5,205,172,31,https://api.github.com/users/nkolot,TRUE,Implementation for the Paper,,
https://github.com/fastai/fastai_docs,FALSE,TRUE,22,506,140,57,https://api.github.com/users/sgugger,TRUE,No proper description,,
https://github.com/BCV-Uniandes/DMS,FALSE,TRUE,5,452,28,3,https://api.github.com/users/andfoy,TRUE,,,
https://github.com/mlperf/inference,FALSE,TRUE,17,124,45,26,https://api.github.com/users/jveejay,TRUE,,,
https://github.com/Cadene/pretrained-models.pytorch,FALSE,TRUE,15,131,3438,720,https://api.github.com/users/Cadene,TRUE,,,
https://github.com/cryoem/eman2,FALSE,TRUE,15,5567,50,31,https://api.github.com/users/shadowwalkersb,TRUE,,,
https://github.com/pytorch/xla,FALSE,TRUE,6,594,142,10,https://api.github.com/users/dlibenzi,TRUE,,,
https://github.com/AliaksandrSiarohin/monkey-net,FALSE,TRUE,6,190,54,9,https://api.github.com/users/AliaksandrSiarohin,TRUE,,,
https://github.com/facebookresearch/Detectron,FALSE,TRUE,23,118,19156,3994,https://api.github.com/users/ir413,TRUE,,,
https://github.com/SeanNaren/deepspeech.pytorch,FALSE,TRUE,23,351,826,272,https://api.github.com/users/SeanNaren,TRUE,,,
https://github.com/brave/browser-android-tabs,FALSE,TRUE,10,541,526,119,https://api.github.com/users/samartnik,TRUE,,,
https://github.com/interactiveaudiolab/nussl,FALSE,TRUE,8,306,160,32,https://api.github.com/users/ethman,TRUE,,,
https://github.com/yunjey/pytorch-tutorial,FALSE,TRUE,20,149,9838,2978,https://api.github.com/users/yunjey,TRUE,Pytorch Tutorial,,
https://github.com/ustclug/hackergame2018-writeups,FALSE,TRUE,20,159,164,28,https://api.github.com/users/volltin,TRUE,Hackergame, in Chinese,
https://github.com/facebookresearch/ELF,FALSE,TRUE,13,242,1850,263,https://api.github.com/users/yuandong-tian,TRUE,,,
https://github.com/pytorch/ignite,FALSE,TRUE,28,246,1405,139,https://api.github.com/users/vfdev-5,TRUE,,,
https://github.com/gau820827/AI-writer_Data2Doc,FALSE,TRUE,5,170,42,12,https://api.github.com/users/gau820827,TRUE,,,
https://github.com/rdevon/cortex,FALSE,TRUE,16,706,41,10,https://api.github.com/users/rdevon,TRUE,,,
https://github.com/ruotianluo/pytorch-faster-rcnn,FALSE,TRUE,19,309,1010,299,https://api.github.com/users/endernewton,TRUE,PyTorchImplementation of RCNN,,
https://github.com/saikrishna-1996/deep_pepper_chess,FALSE,TRUE,5,402,11,2,https://api.github.com/users/saikrishna-1996,TRUE,,,
https://github.com/Hananel-Hazan/bindsnet,FALSE,TRUE,8,758,267,46,https://api.github.com/users/djsaunde,TRUE,,,
https://github.com/pytorch/pytorch,FALSE,TRUE,339,14391,25025,5926,https://api.github.com/users/soumith,TRUE,Pytorch itself,,
https://github.com/Microsoft/MMdnn,FALSE,TRUE,54,951,3100,613,https://api.github.com/users/kitstar,TRUE,,,
https://github.com/progradeep/gan-pytorch,FALSE,TRUE,5,194,14,0,https://api.github.com/users/JaeyunKang,TRUE,,,
https://github.com/pytorch/fairseq,FALSE,TRUE,44,497,3048,648,https://api.github.com/users/myleott,TRUE,,,
https://github.com/TalkToTheGAN/REGAN,FALSE,TRUE,5,176,27,2,https://api.github.com/users/Ravoxsg,TRUE,,,
https://github.com/ROCmSoftwarePlatform/realcaffe2,FALSE,TRUE,168,3027,12,2,https://api.github.com/users/Yangqing,TRUE,No proper description,,
https://github.com/GRAAL-Research/pytoune,FALSE,TRUE,6,175,175,21,https://api.github.com/users/freud14,TRUE,,,
https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,FALSE,TRUE,34,346,6986,1757,https://api.github.com/users/junyanz,TRUE,,,
https://github.com/sonyxperiadev/WebGL,FALSE,TRUE,26,1393,111,24,https://api.github.com/users/drWulf,TRUE,,,
https://github.com/huggingface/pytorch-pretrained-BERT,FALSE,TRUE,46,542,3868,769,https://api.github.com/users/thomwolf,TRUE,,,
https://github.com/PetrochukM/PyTorch-NLP,FALSE,TRUE,6,297,1196,138,https://api.github.com/users/PetrochukM,TRUE,,,
https://github.com/epam/DLab,FALSE,TRUE,19,4411,69,19,https://api.github.com/users/OlehMartushevskyi,TRUE,,,
https://github.com/SurrealAI/surreal,FALSE,TRUE,10,1403,204,31,https://api.github.com/users/jirenz,TRUE,,,
https://github.com/pytorch/benchmark,FALSE,TRUE,14,126,123,27,https://api.github.com/users/cpuhrsch,TRUE,Don't like it.,,
https://github.com/johannbrehmer/madminer,FALSE,TRUE,6,1098,10,8,https://api.github.com/users/johannbrehmer,TRUE,,,
https://github.com/pyannote/pyannote-audio,FALSE,TRUE,6,1279,332,68,https://api.github.com/users/hbredin,TRUE,,,
https://github.com/markblundeberg/openswap,FALSE,TRUE,221,4708,13,1,https://api.github.com/users/ecdsa,TRUE,,,
https://github.com/dask/distributed,FALSE,TRUE,121,2836,733,282,https://api.github.com/users/mrocklin,TRUE,,,
https://github.com/wandb/client,FALSE,TRUE,12,1710,29,4,https://api.github.com/users/vanpelt,TRUE,,,
https://github.com/jmd1011/snek-LMS,FALSE,TRUE,7,263,21,1,https://api.github.com/users/GSAir,TRUE,,,
https://github.com/fragcolor-xyz/nimtorch,FALSE,TRUE,5,876,201,7,https://api.github.com/users/sinkingsugar,TRUE,,,
https://github.com/odlgroup/odl,FALSE,TRUE,17,4861,100,53,https://api.github.com/users/adler-j,TRUE,,,
https://github.com/pytorch/tutorials,FALSE,TRUE,132,463,1975,754,https://api.github.com/users/chsasank,TRUE,Pytorch Tutorials,,
https://github.com/ecs-vlc/torchbearer,FALSE,TRUE,7,323,349,37,https://api.github.com/users/ethanwharris,TRUE,,,
https://github.com/overviewer/Minecraft-Overviewer,FALSE,TRUE,108,2255,1868,327,https://api.github.com/users/eminence,TRUE,,,
https://github.com/slundberg/shap,FALSE,TRUE,36,651,3790,460,https://api.github.com/users/slundberg,TRUE,,,
https://github.com/lbryio/torba,FALSE,TRUE,6,310,15,8,https://api.github.com/users/eukreign,TRUE,,,
https://github.com/Azure/LearnAI-CustomAI-Airlift,FALSE,TRUE,6,130,14,8,https://api.github.com/users/wmpauli,TRUE,Training Material for a Course,,
