project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select
https://github.com/eriklindernoren/PyTorch-GAN,FALSE,TRUE,5,152,2339,565,https://api.github.com/users/eriklindernoren,TRUE
https://github.com/epam/DLab,FALSE,TRUE,19,4411,69,19,https://api.github.com/users/OlehMartushevskyi,TRUE
https://github.com/emfcamp/Mk4-Apps,FALSE,TRUE,64,460,49,122,https://api.github.com/users/marekventur,TRUE
https://github.com/emesik/monero-python,FALSE,TRUE,11,183,72,27,https://api.github.com/users/emesik,TRUE
https://github.com/ecs-vlc/torchbearer,FALSE,TRUE,7,323,349,37,https://api.github.com/users/ethanwharris,TRUE
https://github.com/drivendataorg/concept-to-clinic,FALSE,TRUE,26,382,326,141,https://api.github.com/users/isms,TRUE
https://github.com/drckf/paysage,FALSE,TRUE,5,1008,83,19,https://api.github.com/users/drckf,TRUE
https://github.com/dpressel/baseline,FALSE,TRUE,7,1121,198,49,https://api.github.com/users/dpressel,TRUE
https://github.com/dmlc/gluon-cv,FALSE,TRUE,45,426,1898,394,https://api.github.com/users/zhreshold,TRUE
https://github.com/dmlc/dgl,FALSE,TRUE,23,384,1461,153,https://api.github.com/users/jermainewang,TRUE
https://github.com/DIVA-DIA/DeepDIVA,FALSE,TRUE,6,528,23,13,https://api.github.com/users/Renthal,TRUE
https://github.com/diana-hep/pyhf,FALSE,TRUE,5,364,52,14,https://api.github.com/users/lukasheinrich,TRUE
https://github.com/dgasmith/opt_einsum,FALSE,TRUE,9,300,140,15,https://api.github.com/users/dgasmith,TRUE
https://github.com/deepppl/deepppl,FALSE,TRUE,5,262,11,2,https://api.github.com/users/jburroni,TRUE
https://github.com/deeplearningais/curfil,FALSE,TRUE,7,118,149,56,https://api.github.com/users/bwaldvogel,TRUE
https://github.com/deepgram/kur,FALSE,TRUE,11,576,787,108,https://api.github.com/users/ajsyp,TRUE
https://github.com/deepchem/deepchem,FALSE,TRUE,67,3604,1396,464,https://api.github.com/users/rbharath,TRUE
https://github.com/db0/Android-Netrunner-OCTGN,FALSE,TRUE,10,1504,86,40,https://api.github.com/users/db0,TRUE
https://github.com/dask/distributed,FALSE,TRUE,121,2836,733,282,https://api.github.com/users/mrocklin,TRUE
https://github.com/dart-lang/dart-pad,FALSE,TRUE,14,1205,157,45,https://api.github.com/users/devoncarew,TRUE
https://github.com/daid/LegacyCura,FALSE,TRUE,68,2430,601,440,https://api.github.com/users/daid,TRUE
https://github.com/daavoo/pyntcloud,FALSE,TRUE,15,831,421,90,https://api.github.com/users/daavoo,TRUE
https://github.com/cs-au-dk/Artemis,FALSE,TRUE,7,1724,31,10,https://api.github.com/users/BenSpencer,TRUE
https://github.com/cryoem/eman2,FALSE,TRUE,15,5567,50,31,https://api.github.com/users/shadowwalkersb,TRUE
https://github.com/cornellius-gp/gpytorch,FALSE,TRUE,23,1834,1051,121,https://api.github.com/users/jacobrgardner,TRUE
https://github.com/codalab/codalab-cli,FALSE,TRUE,26,1822,33,31,https://api.github.com/users/percyliang,TRUE
https://github.com/cmusatyalab/openface,FALSE,TRUE,26,731,11607,2795,https://api.github.com/users/bamos,TRUE
https://github.com/cmusatyalab/faceswap,FALSE,TRUE,6,179,22,8,https://api.github.com/users/junjuew,TRUE
https://github.com/classilla/tenfourfox,FALSE,TRUE,9,504,84,12,https://api.github.com/users/classilla,TRUE
https://github.com/castorini/Castor,FALSE,TRUE,13,133,127,46,https://api.github.com/users/tuzhucheng,TRUE
