project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment,
https://github.com/sigopt/sigopt-examples,FALSE,TRUE,16,379,158,47,https://api.github.com/users/alexandraj777,TRUE,Examples for SigOpt(model tuning),
https://github.com/bitextor/bitextor,FALSE,TRUE,9,1572,49,11,https://api.github.com/users/hieuhoang,TRUE,,
https://github.com/deeplearning4j/dl4j-examples,FALSE,TRUE,84,1323,1381,1392,https://api.github.com/users/AlexDBlack,TRUE,DeepLearning4J examples,
https://github.com/Microsoft/CNTK,FALSE,TRUE,190,13198,15810,4214,https://api.github.com/users/frankseide,TRUE,,
https://github.com/Microsoft/ELL,FALSE,TRUE,15,3361,1944,269,https://api.github.com/users/cjacobs,TRUE,,
https://github.com/tensorflow/agents,FALSE,TRUE,13,189,134,17,https://api.github.com/users/sguada,TRUE,,
https://github.com/broadinstitute/keras-rcnn,FALSE,TRUE,15,649,410,161,https://api.github.com/users/0x00b1,TRUE,Keras package for convolutional networks,
https://github.com/donnemartin/data-science-ipython-notebooks,FALSE,TRUE,12,542,14954,4480,https://api.github.com/users/donnemartin,TRUE,,
https://github.com/Erotemic/ibeis,FALSE,TRUE,10,4522,14,10,https://api.github.com/users/Erotemic,TRUE,,
https://github.com/fritzlabs/fritz-models,FALSE,TRUE,6,133,232,48,https://api.github.com/users/jamesonthecrow,TRUE,,
https://github.com/TadasBaltrusaitis/OpenFace,FALSE,TRUE,17,715,3318,1141,https://api.github.com/users/TadasBaltrusaitis,TRUE,,
https://github.com/explosion/spaCy,FALSE,TRUE,298,8567,12295,2063,https://api.github.com/users/honnibal,TRUE,,
https://github.com/deeppomf/DeepCreamPy,FALSE,TRUE,13,284,7189,724,https://api.github.com/users/deeppomf,TRUE,,
https://github.com/awslabs/amazon-sagemaker-examples,FALSE,TRUE,84,906,1435,912,https://api.github.com/users/djarpin,TRUE,Amazon SageMaker Examples,
https://github.com/IntelAI/models,FALSE,TRUE,16,232,43,3,https://api.github.com/users/dmsuehir,TRUE,,
https://github.com/maxpumperla/elephas,FALSE,TRUE,16,301,1135,244,https://api.github.com/users/maxpumperla,TRUE,,
